WORD;TAG
король;NOUN
японских;ADJ
забегаловок;NOUN
прародитель;NOUN
доширака;NOUN
та;DET
самая;ADJ
лапша;NOUN
из;PREP
наруто;NOUN
и;CCONJ
кучи;NOUN
других;ADJ
тайтлов;NOUN
также;CCONJ
помимо;PREP
этого;DET
есть;AUX
легенда;NOUN
что;SCONJ
рамен;NOUN
был;AUX
ввезен;VERB
китайским;ADJ
учёным;NOUN
чжу;NOUN
сунсуи;NOUN
который;ADJ
был;AUX
вынужден;VERB
стать;VERB
беженцем;NOUN
и;CCONJ
служил;VERB
как;SCONJ
советник;NOUN
токугаве;NOUN
мицукуни;NOUN
японскому;ADJ
феодальному;ADJ
лорду;NOUN
часто;ADV
используется;VERB
темпура;NOUN
удон;NOUN
и;CCONJ
тофу;NOUN
кицунэ;ADJ
удон;NOUN
вдохновением;NOUN
для;PREP
блюда;NOUN
была;VERB
другая;ADJ
закуска;NOUN
акашияки;NOUN
которая;ADJ
готовилась;VERB
в;PREP
префектуре;NOUN
хъёго;NOUN
городе;NOUN
акаши;NOUN
и;CCONJ
была;AUX
сделана;VERB
из;PREP
яиц;NOUN
и;CCONJ
осьминога;NOUN
первые;ADJ
такояки;NOUN
содержали;VERB
в;PREP
себе;PART
конняку;NOUN
и;CCONJ
говядину;NOUN
однако;CCONJ
потом;ADV
эндо;NOUN
переключился;VERB
снова;ADV
на;PREP
осьминога;NOUN
в;PREP
начале;NOUN
века;NOUN
карри;NOUN
появилось;VERB
в;PREP
рационе;NOUN
японского;ADJ
морского;ADJ
флота;NOUN
как;CCONJ
способ;NOUN
борьбы;NOUN
с;PREP
авитаминозом;NOUN
и;CCONJ
также;CCONJ
используется;VERB
по;PREP
сей;ADJ
день;NOUN
в;PREP
одном;ADJ
аниме;NOUN
есть;AUX
серия;NOUN
посвящённая;VERB
карри;NOUN
как;PART
раз;PART
потому;SCONJ
что;SCONJ
там;ADV
корабледевочки;NOUN
вообще;ADV
есть;AUX
небольшой;ADJ
лайфхак;NOUN
нужно;VERB
купить;VERB
обычное;ADJ
порошковое;ADJ
карри;NOUN
тут;ADV
важно;ADJ
почитать;VERB
состав;NOUN
карри;NOUN
бывают;VERB
разные;ADJ
вам;PRON
нужен;VERB
тот;DET
где;ADV
есть;AUX
фенугрек;NOUN
или;CCONJ
фенхель;NOUN
или;CCONJ
оба;NUM
сразу;ADV
был;VERB
я;PRON
значит;ADV
в;PREP
этой;DET
вашей;PRON
японии;NOUN
честно;ADJ
пытался;VERB
схарчевать;VERB
там;ADV
рамен;NOUN
в;PREP
обоих;NUM
случаях;NOUN
оглядываясь;VERB
по;PREP
сторонам;NOUN
я;PRON
заметил;VERB
что;SCONJ
самураи;NOUN
уплетали;VERB
это;DET
явство;NOUN
с;PREP
явным;ADJ
удовольствием;NOUN
и;CCONJ
причмокиванием;NOUN
ну;INTJ
вот;INTJ
приготовление;NOUN
якитори;NOUN
они;PRON
познали;VERB
в;PREP
совершенстве;NOUN
с;PREP
этим;ADJ
не;PART
поспоришь;VERB
ну;INTJ
и;CCONJ
для;PREP
взрослых;NOUN
конечно;PART
это;DET
японский;ADJ
вискарь;NOUN
офигительно;ADV
крутая;ADJ
штука;NOUN
сакэ;NOUN
норм;ADJ
но;CCONJ
на;PREP
любителя;NOUN
правда;PART
получше;ADJ
корейской;ADJ
сётю;NOUN
и;CCONJ
все;PART
равно;PART
не;PART
могу;VERB
понять;VERB
в;PREP
чем;PRON
разница;NOUN
между;PREP
карри;NOUN
и;CCONJ
тушенной;ADJ
картохой;NOUN
кроме;PREP
специи;NOUN
готовил;VERB
и;CCONJ
карри;NOUN
и;CCONJ
якисобу;NOUN
и;CCONJ
разные;ADJ
вариации;NOUN
рамена;NOUN
омурайсу;NOUN
онигири;NOUN
кацудон;NOUN
нынешняя;ADJ
домашняя;ADJ
японская;ADJ
кухня;NOUN
довольно;ADV
простая;ADJ
и;CCONJ
понятная;ADJ
всё;PRON
делается;VERB
из;PREP
очень;ADV
доступных;ADJ
продуктов;NOUN
ресторанка;NOUN
и;CCONJ
фастфуд;NOUN
уже;ADV
совсем;ADV
другая;ADJ
песня;NOUN